"   ","TOR_IYC_ISOCD"
"1","42P1"
"2","L2G1"
"3","45V9"
"4","22V9"
"5","4500"
"6","L510"
"7","42R1"
"8","4269"
"9","43G1"
"10","4532"
"11","2200"
"12","22V0"
"13","22P9"
"14","2271"
"15","45U1"
"16","L5H1"
"17","22T5"
"18","22V1"
"19","4000"
"20","2000"
"21","L2G5"
"22","4550"
"23","42H1"
"24","43P9"
"25","4351"
"26","4363"
"27","4EH2"
"28","2201"
"29","2581"
"30","42G5"
"31","43G0"
"32","25R0"
"33","2532"
"34","22R0"
"35","2XU9"
"36","42R0"
"37","2204"
"38","4XH1"
"39","44H2"
"40","4270"
"41","45V0"
"42","2350"
"43","L5G9"
"44","20T0"
"45","44V9"
"46","43V9"
"47","40T9"
"48","40G3"
"49","24P9"
"50","2274"
"51","2030"
"52","2130"
"53","22H9"
"54","2259"
"55","22G6"
"56","4301"
"57","4281"
"58","4EH7"
"59","4370"
"60","42T8"
"61","4ER1"
"62","2063"
"63","2EU1"
"64","PEH7"
"65","L5U0"
"66","22R4"
"67","2001"
"68","25T0"
"69","4EH6"
"70","43P6"
"71","4ER5"
"72","2571"
"73","4554"
"74","23H4"
"75","24G2"
"76","4EH3"
"77","43H7"
"78","46H6"
"79","2359"
"80","4539"
"81","4469"
"82","2209"
"83","2363"
"84","22T7"
"85","25G0"
"86","2262"
"87","42T2"
"88","22P8"
"89","43R3"
"90","2266"
"91","4X69"
"92","L5G2"
"93","41G1"
"94","4319"
"95","2EH4"
"96","25H2"
"97","L460"
"98","4569"
"99","22H7"
"100","4X15"
"101","23T1"
"102","42T6"
"103","4XP4"
"104","20H2"
"105","4EP4"
"106","23G8"
"107","42T7"
"108","20R1"
"109","25H7"
"110","2650"
"111","L504"
"112","42G1"
"113","42U1"
"114","L5V9"
"115","L521"
"116","45R1"
"117","22H5"
"118","45G0"
"119","23P4"
"120","4300"
"121","22U9"
"122","22G5"
"123","4560"
"124","2273"
"125","4261"
"126","25R1"
"127","4369"
"128","4XU9"
"129","4201"
"130","2261"
"131","2264"
"132","45R4"
"133","45P0"
"134","45H2"
"135","42T0"
"136","LEG9"
"137","20G0"
"138","4063"
"139","42U0"
"140","25P9"
"141","44V0"
"142","43U1"
"143","4514"
"144","4361"
"145","24H1"
"146","20P0"
"147","2100"
"148","22U6"
"149","2010"
"150","P4H1"
"151","22G8"
"152","28T9"
"153","2208"
"154","42P2"
"155","4581"
"156","45H7"
"157","4215"
"158","P5H1"
"159","L404"
"160","40G1"
"161","23G6"
"162","4413"
"163","4503"
"164","2216"
"165","L205"
"166","4505"
"167","4060"
"168","4567"
"169","4354"
"170","4381"
"171","22P2"
"172","25G5"
"173","45XX"
"174","4536"
"175","4216"
"176","46V2"
"177","28T8"
"178","4506"
"179","23P3"
"180","4254"
"181","L2R0"
"182","44H6"
"183","L4H6"
"184","4XP3"
"185","4365"
"186","21P9"
"187","L6G9"
"188","44H1"
"189","L5G1"
"190","45R0"
"191","4ER0"
"192","L5G5"
"193","22T9"
"194","23P9"
"195","2232"
"196","22R3"
"197","25G1"
"198","2270"
"199","2250"
"200","4360"
"201","2231"
"202","20P9"
"203","45V2"
"204","24R3"
"205","45R9"
"206","2276"
"207","4531"
"208","23T9"
"209","20U9"
"210","46P1"
"211","4364"
"212","25R3"
"213","45R5"
"214","L4G1"
"215","20T1"
"216","43G8"
"217","42H2"
"218","4313"
"219","L2V2"
"220","2275"
"221","45G7"
"222","46G9"
"223","22U0"
"224","45R7"
"225","48T1"
"226","44U0"
"227","44P9"
"228","21V3"
"229","4504"
"230","21H1"
"231","45G6"
"232","4515"
"233","4070"
"234","23H5"
"235","22T3"
"236","2220"
"237","P4G5"
"238","46V9"
"239","22R2"
"240","4860"
"241","LEG1"
"242","26P9"
"243","P510"
"244","25T9"
"245","4E32"
"246","40T0"
"247","2859"
"248","PEH3"
"249","44H5"
"250","22R5"
"251","4559"
"252","4522"
"253","4EU1"
"254","42G6"
"255","L4G6"
"256","44P1"
"257","4451"
"258","46G5"
"259","44XX"
"260","L503"
"261","24R4"
"262","L466"
"263","21U9"
"264","24R5"
"265","4508"
"266","43U3"
"267","2FG1"
"268","9510"
"269","L2P1"
"270","2280"
"271","25V1"
"272","L5P1"
"273","2860"
"274","4ER6"
"275","41U9"
"276","24R9"
"277","22H4"
"278","2534"
"279","P5H2"
"280","4416"
"281","2375"
"282","4510"
"283","42V0"
"284","42G0"
"285","L505"
"286","4200"
"287","44G1"
"288","46U1"
"289","4263"
"290","4563"
"291","4ER9"
"292","4X50"
"293","2281"
"294","23H1"
"295","L210"
"296","L501"
"297","22P3"
"298","22H2"
"299","L4G5"
"300","45H3"
"301","4202"
"302","42V7"
"303","45P9"
"304","25H1"
"305","46P3"
"306","43G9"
"307","2501"
"308","2370"
"309","P5G0"
"310","2050"
"311","42T9"
"312","L4V9"
"313","46U9"
"314","22R9"
"315","4EG1"
"316","4262"
"317","4239"
"318","2433"
"319","41V3"
"320","25V0"
"321","45U9"
"322","L810"
"323","48P1"
"324","2770"
"325","45P4"
"326","23G0"
"327","2206"
"328","4XG1"
"329","P6H1"
"330","22G4"
"331","42P0"
"332","42U6"
"333","2451"
"334","4ER3"
"335","2234"
"336","22T4"
"337","43H3"
"338","45R6"
"339","PXG0"
"340","40V9"
"341","4353"
"342","2X20"
"343","46T9"
"344","43P1"
"345","46R5"
"346","23R6"
"347","4290"
"348","4663"
"349","4221"
"350","23R4"
"351","4051"
"352","L5P4"
"353","L5P5"
"354","4204"
"355","L2P9"
"356","43G7"
"357","L1G0"
"358","42P8"
"359","4362"
"360","4307"
"361","45V4"
"362","4535"
"363","4430"
"364","2213"
"365","2282"
"366","42U4"
"367","46H4"
"368","2267"
"369","24R1"
"370","44P4"
"371","4XP1"
"372","48XX"
"373","4404"
"374","L3P9"
"375","46U6"
"376","4660"
"377","43H6"
"378","23H6"
"379","26R4"
"380","4EG0"
"381","L400"
"382","2371"
"383","25U0"
"384","L6H3"
"385","2374"
"386","22T0"
"387","22H1"
"388","22U1"
"389","45V1"
"390","2330"
"391","42P9"
"392","24G4"
"393","44G7"
"394","4260"
"395","4450"
"396","43V1"
"397","22P0"
"398","4350"
"399","4400"
"400","45H1"
"401","43H1"
"402","4EH1"
"403","4265"
"404","45H6"
"405","L4H1"
"406","44U9"
"407","4551"
"408","40U9"
"409","4501"
"410","40P9"
"411","45P1"
"412","4231"
"413","42G9"
"414","22T6"
"415","45G3"
"416","25G2"
"417","L5V0"
"418","4218"
"419","2265"
"420","22V2"
"421","23V2"
"422","L5U1"
"423","4410"
"424","L2U1"
"425","22G7"
"426","48T9"
"427","42P7"
"428","4463"
"429","44G9"
"430","40U0"
"431","28T1"
"432","4521"
"433","45P2"
"434","4418"
"435","2258"
"436","40G9"
"437","42G2"
"438","22P4"
"439","4511"
"440","42R4"
"441","43H2"
"442","24H2"
"443","28U0"
"444","22V8"
"445","22R7"
"446","4EG5"
"447","4534"
"448","45G8"
"449","2530"
"450","45H4"
"451","4213"
"452","42R9"
"453","85G1"
"454","4305"
"455","4316"
"456","2570"
"457","4431"
"458","4421"
"459","42U3"
"460","45G4"
"461","44G3"
"462","4212"
"463","2272"
"464","42R6"
"465","L5U9"
"466","4507"
"467","4EV9"
"468","43T9"
"469","4253"
"470","24T9"
"471","44G6"
"472","23R1"
"473","2EH2"
"474","2500"
"475","20U0"
"476","P500"
"477","L415"
"478","40R0"
"479","P5V9"
"480","42H3"
"481","4610"
"482","2217"
"483","22G1"
"484","L502"
"485","4210"
"486","22R1"
"487","45R3"
"488","22P1"
"489","42V1"
"490","4250"
"491","L500"
"492","2263"
"493","2269"
"494","2510"
"495","45P3"
"496","45U6"
"497","45G2"
"498","43U9"
"499","4160"
"500","L469"
"501","23G1"
"502","4561"
"503","22XX"
"504","44G4"
"505","2071"
"506","44V2"
"507","LEG8"
"508","2632"
"509","46G1"
"510","2360"
"511","22R8"
"512","4460"
"513","4373"
"514","41R3"
"515","43G5"
"516","4252"
"517","12T1"
"518","42G8"
"519","24U9"
"520","2560"
"521","22G9"
"522","44R1"
"523","42T5"
"524","4EU0"
"525","L5G6"
"526","20T5"
"527","P2G1"
"528","42R5"
"529","P5G5"
"530","P5G1"
"531","P5R0"
"532","23H2"
"533","28P1"
"534","L5G8"
"535","20R3"
"536","4230"
"537","L3G1"
"538","42H0"
"539","43P3"
"540","23H7"
"541","40G5"
"542","24P6"
"543","4EG7"
"544","45H8"
"545","43P2"
"546","23H3"
"547","4EG9"
"548","L5H5"
"549","4EG6"
"550","2060"
"551","44R0"
"552","20G1"
"553","4509"
"554","2219"
"555","L4G3"
"556","22U2"
"557","48T8"
"558","4267"
"559","2011"
"560","2G21"
"561","44H4"
"562","2580"
"563","2372"
"564","4100"
"565","23P1"
"566","4209"
"567","28P2"
"568","40P2"
"569","43G6"
"570","4XP9"
"571","20R2"
"572","4XP2"
"573","4408"
"574","L4P1"
"575","4562"
"576","24U1"
"577","46H7"
"578","4211"
"579","L6H4"
"580","2419"
"581","2210"
"582","42U9"
"583","22T1"
"584","44R3"
"585","42V9"
"586","24G1"
"587","2251"
"588","2230"
"589","45G5"
"590","L2G0"
"591","45U0"
"592","46R3"
"593","4251"
"594","2310"
"595","2531"
"596","40R3"
"597","42T1"
"598","25V9"
"599","42XX"
"600","42H6"
"601","22V7"
"602","4150"
"603","4405"
"604","2211"
"605","46P9"
"606","22T2"
"607","L4P9"
"608","4050"
"609","45R8"
"610","26G1"
"611","4205"
"612","49P0"
"613","4432"
"614","44R4"
"615","40H1"
"616","24G5"
"617","22V3"
"618","2332"
"619","40XX"
"620","26P3"
"621","L6G1"
"622","43R6"
"623","25U9"
"624","4219"
"625","23V9"
"626","2221"
"627","L5XX"
"628","44R5"
"629","2203"
"630","22R6"
"631","2EG1"
"632","2290"
"633","46G6"
"634","23R3"
"635","20V9"
"636","2351"
"637","4090"
"638","4355"
"639","4330"
"640","4EP9"
"641","4600"
"642","2202"
"643","4401"
"644","46H5"
"645","85U9"
"646","22T8"
"647","42P5"
"648","L5V3"
"649","4EV1"
"650","45P6"
"651","49P9"
"652","22B0"
"653","4059"
"654","46G7"
"655","L3G0"
"656","4271"
"657","L6G0"
"658","4256"
"659","P2G4"
"660","20U1"
"661","L3P2"
"662","25XX"
"663","45G1"
"664","4310"
"665","42U2"
"666","L5G0"
"667","22G0"
"668","4530"
"669","42P3"
"670","42R3"
"671","2260"
"672","44G5"
"673","2070"
"674","4259"
"675","23G5"
"676","44R9"
"677","46R4"
"678","L2V9"
"679","42P4"
"680","4502"
"681","20H1"
"682","L5V1"
"683","2551"
"684","2550"
"685","L5R1"
"686","2215"
"687","28G5"
"688","20T9"
"689","22H3"
"690","44H3"
"691","29P9"
"692","42G4"
"693","44U1"
"694","42V2"
"695","4EV2"
"696","2432"
"697","23U9"
"698","22G2"
"699","2253"
"700","46H3"
"701","44H7"
"702","4533"
"703","4670"
"704","2205"
"705","2279"
"706","22P5"
"707","46H1"
"708","25U1"
"709","4650"
"710","4EH4"
"711","L560"
"712","45T1"
"713","2400"
"714","L5H3"
"715","40P1"
"716","L2H1"
"717","45H5"
"718","2161"
"719","PEV2"
"720","45P8"
"721","4EU9"
"722","42P6"
"723","4110"
"724","22G3"
"725","20R0"
"726","4276"
"727","4203"
"728","45G9"
"729","4520"
"730","46R1"
"731","2277"
"732","4264"
"733","40U8"
"734","4513"
"735","44G0"
"736","4564"
"737","L4G0"
"738","2300"
"739","L5V8"
"740","4367"
"741","22H6"
"742","46H2"
"743","23G9"
"744","2254"
"745","22U8"
"746","4403"
"747","L5R4"
"748","4415"
"749","44V1"
"750","21G1"
"751","44H8"
"752","2222"
"753","45V3"
"754","45T9"
"755","45P5"
"756","24V9"
"757","26H2"
"758","28P9"
"759","P5H4"
"760","20P5"
"761","LEG7"
