"   ","OWNER_CODE"
"1","MAGU"
"2","APZU"
"3","UESU"
"4","SLSU"
"5","INNU"
"6","AAAU"
"7","SCMU"
"8","SEAU"
"9","SUTU"
"10","ICDU"
"11","RFLU"
"12","MCSU"
"13","TASU"
"14","ADQU"
"15","SJKU"
"16","MWCU"
"17","ASHU"
"18","DSZU"
"19","VSLU"
"20","ALRU"
"21","MRCU"
"22","GCLU"
"23","NRIU"
"24","JTDU"
"25","HWIU"
"26","EQPB"
"27","ACLU"
"28","SSTU"
"29","HKKU"
"30","SUKU"
"31","HLTU"
"32","YSRU"
"33","UMLU"
"34","KWCU"
"35","JNLU"
"36","JDMU"
"37","KENU"
"38","6612"
"39","7229"
"40","INCU"
"41","CORU"
"42","MDOU"
"43","FLDU"
"44","MTHH"
"45","TUPU"
"46","MHCU"
"47","GEDU"
"48","CPWU"
"49","KEZU"
"50","JCAU"
"51","DSXU"
"52","DMDU"
"53","SODU"
"54","ITKU"
"55","0710"
"56","KTKU"
"57","BXSU"
"58","GRTU"
"59","SSNU"
"60","LCYU"
"61","RCTU"
"62","BOMU"
"63","MRKU"
"64","GLDU"
"65","IALU"
"66","PRFU"
"67","RMTU"
"68","UNXU"
"69","BISU"
"70","PLCU"
"71","ECNU"
"72","ARTU"
"73","SNCU"
"74","PWCU"
"75","RDXU"
"76","HOYU"
"77","BOCU"
"78","ICTU"
"79","SHXU"
"80","CNNU"
"81","CQPU"
"82","ANNU"
"83","MRBU"
"84","AMLU"
"85","DJIU"
"86","PPDU"
"87","HGFU"
"88","LNDU"
"89","DERU"
"90","ULCU"
"91","FCLU"
"92","LGTU"
"93","PCLU"
"94","CUBU"
"95","GOMU"
"96","OSEU"
"97","JNIU"
"98","JIMU"
"99","LSNU"
"100","IGCU"
"101","6779"
"102","OKKU"
"103","SOSU"
"104","DPKU"
"105","LABU"
"106","JBKU"
"107","IENU"
"108","RONU"
"109","GPTU"
"110","ZIBU"
"111","AXEU"
"112","BCLU"
"113","HHTU"
"114","SFFU"
"115","HJMU"
"116","OSLU"
"117","CJXU"
"118","DALU"
"119","SLPU"
"120","FWLU"
"121","GCRU"
"122","SWEU"
"123","SLJU"
"124","HFMU"
"125","JPTU"
"126","CEAU"
"127","RWWL"
"128","CRSU"
"129","NDSU"
"130","MHSU"
"131","CRXU"
"132","KMTU"
"133","INKU"
"134","PHLU"
"135","HLGU"
"136","TLNU"
"137","SKHU"
"138","WGSU"
"139","PRKU"
"140","GIPU"
"141","BVIU"
"142","GRDU"
"143","FISU"
"144","SKRU"
"145","BSBU"
"146","CCSU"
"147","KIRU"
"148","CIIU"
"149","TOPU"
"150","LVNU"
"151","UAEU"
"152","NSDU"
"153","IICU"
"154","NFAU"
"155","LRIU"
"156","FABU"
"157","VNUU"
"158","JPHU"
"159","KCBU"
"160","OKAU"
"161","SCTU"
"162","MGBU"
"163","AMPU"
"164","QCLU"
"165","NIRU"
"166","BCCU"
"167","NFSU"
"168","PSCU"
"169","YINU"
"170","HFZU"
"171","HTWU"
"172","FITU"
"173","YCXU"
"174","LKMU"
"175","BSLU"
"176","IGLU"
"177","ZHWU"
"178","PNEU"
"179","PTMU"
"180","JPCU"
"181","FJOU"
"182","CYSU"
"183","SOEU"
"184","IIUU"
"185","HAHA"
"186","LCNU"
"187","IPGU"
"188","PEQU"
"189","BWTU"
"190","STIU"
"191","LHUU"
"192","CCFU"
"193","EMJU"
"194","TAEU"
"195","DNCU"
"196","NCSE"
"197","YHSU"
"198","MSKU"
"199","DVDU"
"200","BERU"
"201","JTMU"
"202","PRSU"
"203","CSQU"
"204","MGLU"
"205","AXIU"
"206","GWSU"
"207","PGHU"
"208","ASCU"
"209","DLQU"
"210","TNKU"
"211","GCIU"
"212","UNCU"
"213","OLYU"
"214","ARKU"
"215","CFUU"
"216","FOCU"
"217","CLSU"
"218","KLAU"
"219","TMEU"
"220","ACNU"
"221","MAOU"
"222","HARU"
"223","CONT"
"224","RWNU"
"225","TCZU"
"226","SHFU"
"227","HFUU"
"228","TNDU"
"229","SVKU"
"230","HCTU"
"231","HNLU"
"232","CP13"
"233","DIXU"
"234","BWPU"
"235","WBPU"
"236","DSLU"
"237","BOBU"
"238","MTLU"
"239","TDDU"
"240","CSMU"
"241","VIAU"
"242","STAR"
"243","SMCU"
"244","IDOU"
"245","SNAU"
"246","CHLU"
"247","CTCU"
"248","CETU"
"249","GSIU"
"250","VMTU"
"251","CHTL"
"252","DOEU"
"253","LBGU"
